Date,Station,Source,Depth,YSI_Depth,YSI_Temp,YSI_Salinity,YSI_DO,YSI_Turbidity,YSI_Chl,YSI_BP,POC,PN,CtoN,DOC,DIC,NO3/NO2,NH4,DIN,TDN,DON,PO4,SiO2
2000/1/6,96,IMS,2,1,9.87,4.6,10.79,-7777,-7777,-7777,1985.95,321.75,7.2,-7777,-7777,227.7614515,11.912821,239.6742725,-7777,-2222,-9999,81.0173
2000/1/6,96,IMS,1,0.5,9.87,4.6,10.76,-7777,-7777,-7777,2188.9,346.45,7.37,-7777,-7777,224.4358675,9.9487735,234.384641,-7777,-2222,-9999,72.1574
2000/1/6,100,IMS,2,3.5,9.98,6,10.21,-7777,-7777,-7777,2193.45,393.95,6.5,658.9,-7777,180.681488,16.373538,197.055026,526.408691,329,-9999,57.9072
2000/1/6,100,IMS,1,0.1,10.2,5.3,10.63,-7777,-7777,-7777,1738.45,308.05,6.58,668.5,9.3292411,187.090805,13.833133,200.923938,507.821625,307,-9999,63.9391
2000/1/6,120,IMS,2,5,10.38,7.3,9.99,-7777,-7777,-7777,2000.9,309.9,7.53,652.8,-7777,104.3772435,25.008795,129.3860385,449.165619,320,-9999,67.8104
2000/1/6,120,IMS,1,0.1,10.2,5.1,10.81,-7777,-7777,-7777,1836,317.15,6.75,642,9.3292411,209.031677,12.6990425,221.7307195,546.273315,325,-9999,72.0294
2000/1/6,140,IMS,2,4.5,10.07,7.7,10.12,-7777,-7777,-7777,1956.7,349.2,6.54,-7777,-7777,37.0093425,17.5533785,54.562721,365.96048,311,-9999,68.2419
2000/1/6,140,IMS,1,0.3,10.1,7.2,10.61,-7777,-7777,-7777,1976.85,369.3,6.27,-7777,9.805751339,27.151789,14.865639,42.017428,325.427643,283,-9999,57.2515
2000/1/6,160,IMS,1,0.2,9.98,7.9,10.98,-7777,-7777,-7777,2522.3,463.45,6.35,659,9.941897122,-9999,15.9817915,15.9817915,355.409882,339,-9999,52.3637
2000/1/6,160,IMS,2,6.5,10,9,9.73,-7777,-7777,-7777,2217.2,406.8,6.35,658,-7777,-9999,13.9123195,13.9123195,318.959259,305,-9999,55.9491
2000/2/1,0,IMS,2,4,2.8,0,12.04,-7777,-7777,-7777,1703.5,184,10.76,517.9,-7777,786.60075,94.3729,880.97365,1306.944946,426,17.354685,32.2526435
2000/2/1,0,IMS,1,0.2,2.82,0,12.26,-7777,-7777,-7777,1103.6,129.7,9.95,512.2,1.647730841,786.16745,91.03875,877.2062,1313.772949,437,18.446947,27.63121
2000/2/1,10,IMS,1,0.2,3.36,0,11.8,-7777,-7777,-7777,1223.9,138,10.36,-7777,1.968480545,768.7105,84.98795,853.69845,-7777,-2222,17.7420025,24.422509
2000/2/1,10,IMS,2,3.5,3.26,0,11.7,-7777,-7777,-7777,1420.2,151.8,10.92,-7777,-7777,775.62955,97.59755,873.2271,-7777,-2222,16.9936565,25.120182
2000/2/1,20,IMS,2,2.6,3.19,0,11.75,-7777,-7777,-7777,1851.85,188.6,11.45,-7777,-7777,764.5831,88.42395,853.00705,1301.099365,448,17.297304,24.4688455
